timestamp, HR (BPM), RESP (BPM), SpO2 (%),TEMP (*C)
1,101,25,93,38
2,55,11,100,35
3,94,26,97,42
4,94,26,97,42
5,94,26,97,41
6,94,24,97,41
7,94,25,97,42
8,94,25,97,42
9,94,25,97,41
10,94,25,97,41
11,94,24,98,42
12,93,24,98,42
13,93,24,97,41
14,93,24,97,41
15,92,24,97,42
16,92,23,97,42
17,92,22,97,41
18,92,22,97,42
19,91,22,97,42
20,90,21,97,41
21,91,21,97,41
22,91,21,97,41
23,91,21,97,41
24,91,21,97,41
25,91,21,97,41
26,91,21,97,41
27,91,22,97,41
28,91,22,97,41
29,92,22,97,41
30,92,22,97,41
31,93,23,97,40
32,93,23,97,40
33,92,23,97,40
34,92,23,97,40
35,92,22,98,40
36,92,21,98,41
37,91,21,97,41
38,91,21,97,40
39,91,21,97,40
40,91,21,97,41
41,91,20,97,41
42,91,20,97,40
43,91,20,97,40
44,92,22,97,39
45,92,22,97,39
46,92,22,97,38
47,92,22,97,39
48,91,22,97,40
49,91,21,97,39
50,91,21,97,39
51,91,21,97,39
52,91,21,97,39
53,91,21,97,39
54,91,21,97,39
55,91,21,97,39
56,91,21,97,39
57,91,21,97,39
58,92,21,97,39
59,91,21,97,39
60,90,22,97,38
61,90,22,97,39
62,91,21,97,39
63,91,21,97,39
64,91,21,97,38
65,91,21,97,39
66,91,21,97,38
67,91,21,97,38
68,91,21,97,38
69,91,21,97,38
70,91,21,97,38
71,91,21,97,38
72,91,21,97,38
73,91,21,97,38
74,91,21,97,38
75,91,21,97,38
76,91,21,97,38
77,91,21,97,38
78,91,21,97,38
79,91,21,97,38
80,91,21,97,37
81,91,20,97,38
82,91,20,97,37
83,91,20,97,37
84,91,20,96,37
85,91,20,96,37
86,91,21,96,37
87,91,21,96,37
88,91,21,97,37
89,91,21,97,37
90,91,21,97,37
91,91,21,97,37
92,91,21,96,36
93,91,21,96,36
94,91,21,96,36
95,91,21,97,36
96,91,21,97,37
97,91,21,97,37
98,91,21,97,37
99,91,21,97,37
100,91,21,97,36
101,91,21,97,36
102,91,21,97,36
103,91,21,97,36
104,92,20,96,36
105,92,20,96,36
106,91,20,96,36
107,92,20,96,36
108,91,20,97,36
109,91,21,97,36
110,92,21,97,36
111,92,21,97,36
112,91,21,97,35
113,91,21,97,35
114,92,20,96,36
115,92,20,96,36
116,92,20,96,36
117,92,20,96,36
118,91,20,96,36
119,91,20,96,36
120,91,20,97,36
121,91,20,97,36
122,91,20,97,35
123,91,20,97,35
124,91,21,97,36
125,91,21,97,36
126,91,21,97,36
127,91,21,97,36
128,91,21,97,36
129,91,21,97,36
130,90,21,97,35
131,90,21,97,35
132,90,21,97,35
133,89,21,97,35
134,90,21,97,35
135,90,21,97,35
136,90,21,97,35
137,90,21,97,35
138,90,21,97,35
139,90,21,97,35
140,90,21,97,36
141,90,21,97,36
142,91,21,97,35
143,91,21,97,35
144,92,21,97,35
145,92,21,97,35
146,92,21,97,35
147,92,21,97,35
148,92,21,97,35
149,92,21,97,35
150,88,21,97,35
151,91,21,97,35
152,91,22,96,35
153,91,22,96,35
154,91,22,97,34
155,91,22,97,34
156,90,22,97,35
157,90,22,97,35
158,90,22,97,35
159,90,22,97,35
160,90,22,97,35
161,90,21,97,35
162,91,21,97,35
163,91,21,97,35
164,91,21,97,35
165,91,21,97,35
166,91,21,97,35
167,91,21,97,35
168,91,21,97,35
169,91,21,97,35
170,90,21,97,36
171,90,21,96,36
172,90,21,96,35
173,90,20,96,35
174,93,16,100,35
175,93,16,100,35
176,93,16,100,35
177,93,16,100,35
178,92,16,100,35
179,92,16,100,35
180,91,16,100,35
181,91,16,100,35
182,91,16,100,36
183,91,16,100,36
184,92,16,100,36
185,92,16,100,36
186,91,16,100,36
187,91,16,100,36
188,90,16,100,36
189,90,16,100,36
190,91,16,100,36
191,91,16,100,36
192,92,16,100,36
193,93,16,100,36
194,92,15,100,36
195,92,15,100,36
196,91,15,100,36
197,91,15,100,36
198,89,15,100,36
199,89,15,100,36
200,89,15,100,36
201,89,15,100,36
202,90,15,100,36
203,91,15,100,36
204,92,15,100,36
205,92,15,100,36
206,92,15,100,35
207,92,15,100,35
208,92,15,100,36
209,92,15,100,36
210,92,15,100,37
211,93,15,100,37
212,92,15,100,36
213,92,15,100,36
214,91,15,100,36
215,91,15,100,36
216,91,15,100,36
217,91,15,100,36
218,91,15,100,36
219,91,15,100,36
220,91,15,100,35
221,91,15,100,35
222,90,16,100,36
223,90,16,100,36
224,90,16,100,36
225,90,16,100,36
226,90,16,100,36
227,91,16,100,36
228,91,16,100,36
229,91,16,100,36
230,92,15,100,36
231,92,15,100,36
232,92,15,100,37
233,92,15,100,37
234,90,14,100,36
235,90,14,100,36
236,90,14,100,36
237,90,14,100,36
238,90,14,100,37
239,90,15,100,37
240,91,15,100,36
241,91,15,100,36
242,91,15,100,37
243,90,15,100,37
244,90,15,100,36
245,90,15,100,36
246,91,15,100,36
247,91,15,100,36
248,92,15,100,36
249,92,15,100,36
250,92,15,100,36
251,92,15,100,36
252,92,15,100,36
253,92,15,100,36
254,93,15,100,36
255,94,15,100,36
256,93,15,100,36
257,92,15,100,36
258,91,15,100,37
259,91,15,100,37
260,91,15,100,36
261,91,15,100,36
262,90,15,100,36
263,90,15,100,36
264,90,15,100,37
265,90,15,100,37
266,89,15,100,37
267,89,15,100,37
268,88,15,100,37
269,88,15,100,37
270,87,15,100,37
271,87,15,100,37
272,88,15,100,37
273,89,15,100,37
274,89,15,100,37
275,90,15,100,37
276,91,15,100,37
277,91,15,100,37
278,92,16,100,37
279,92,16,100,37
280,93,18,100,37
281,93,18,100,37
282,93,19,100,37
283,93,19,100,37
284,92,18,100,38
285,91,18,100,38
286,91,15,99,37
287,91,15,99,37
288,91,15,100,37
289,92,15,100,37
290,94,15,100,36
291,94,15,100,36
292,94,15,100,37
293,95,15,100,37
294,94,15,100,38
295,94,15,100,38
296,93,15,100,37
297,93,15,100,37
298,92,15,100,37
299,92,15,100,37
300,91,15,100,37
301,91,15,100,37
302,91,15,100,36
303,91,15,100,36
304,91,14,100,36
305,92,14,100,36
306,92,15,100,36
307,91,15,100,36
308,91,15,100,36
309,91,14,100,36
310,89,14,100,37
311,90,14,100,37
312,90,14,100,37
313,90,14,100,37
314,90,14,100,37
315,90,14,100,37
316,90,14,100,37
317,90,14,100,37
318,90,14,100,37
319,90,14,100,37
320,90,14,100,36
321,90,14,100,36
322,91,14,100,37
323,91,14,100,37
324,91,15,100,38
325,92,15,100,38
326,92,15,100,37
327,92,15,100,37
328,93,15,100,37
329,93,15,100,37
330,93,15,100,38
331,93,15,100,38
332,94,16,100,37
333,94,16,100,37
334,93,16,100,37
335,93,16,100,37
336,93,16,100,37
337,93,15,100,37
338,93,15,100,37
339,92,15,100,37
340,91,15,100,38
341,90,15,100,38
342,89,15,100,37
343,89,15,100,37
344,89,15,100,38
345,89,15,100,38
346,77,17,97,37
347,76,17,97,37
348,76,17,97,37
349,76,17,97,37
350,76,17,96,37
351,74,17,96,37
352,76,17,96,37
353,76,17,96,37
354,76,17,96,37
355,77,17,96,37
356,76,17,96,37
357,77,17,96,37
358,75,17,96,37
359,76,17,96,37
360,75,17,97,38
361,75,17,96,38
362,75,17,96,37
363,75,17,96,37
364,75,17,96,37
365,75,17,96,37
366,76,17,96,38
367,76,17,96,38
368,76,18,97,37
369,75,18,97,37
370,76,17,97,37
371,76,17,97,37
372,77,18,96,37
373,76,18,96,37
374,77,18,96,37
375,78,18,96,37
376,76,18,96,37
377,77,18,96,37
378,76,18,96,37
379,76,18,96,37
380,76,18,97,36
381,76,18,97,36
382,77,18,97,37
383,77,17,96,37
384,77,18,96,37
385,77,18,96,37
386,77,18,96,37
387,77,18,96,37
388,77,18,96,37
389,77,18,96,37
390,77,16,96,37
391,76,16,96,37
392,77,16,96,36
393,77,16,96,36
394,76,16,96,37
395,78,16,96,37
396,75,16,96,37
397,75,16,96,37
398,76,16,96,37
399,76,16,96,37
400,86,16,96,37
401,83,16,96,37
402,86,17,96,38
403,83,17,96,38
404,77,18,97,37
405,77,18,97,37
406,77,19,96,38
407,78,19,96,38
408,76,19,96,37
409,77,19,96,37
410,76,19,96,38
411,76,19,96,38
412,76,19,96,37
413,75,19,96,37
414,74,19,96,37
415,76,19,96,37
416,76,19,96,37
417,76,19,96,37
418,76,19,96,37
419,75,18,96,37
420,76,18,96,37
421,76,18,96,37
422,77,18,96,37
423,76,18,96,37
424,78,18,96,37
425,77,18,96,37
426,77,17,96,38
427,76,17,96,38
428,77,17,96,38
429,78,17,96,38
430,77,17,96,37
431,78,18,96,37
432,78,18,96,37
433,77,18,96,37
434,77,17,96,37
435,77,17,96,37
436,77,18,96,37
437,76,18,96,37
438,76,18,96,37
439,76,18,96,37
440,75,18,96,37
441,75,18,96,37
442,75,18,96,37
443,75,18,96,37
444,75,18,96,37
445,75,18,96,37
446,75,18,96,37
447,76,18,96,37
448,76,18,96,36
449,76,18,95,36
450,76,18,96,37
451,75,18,96,37
452,75,18,96,36
453,75,18,96,36
454,75,18,96,37
455,75,18,96,37
456,75,18,96,37
457,75,18,96,37
458,77,18,96,37
459,76,18,96,37
460,77,18,96,36
461,75,18,96,36
462,76,18,96,37
463,76,18,96,37
464,76,17,96,36
465,76,17,96,36
466,76,17,96,36
467,74,17,96,36
468,76,17,96,36
469,75,18,96,36
470,76,18,96,36
471,76,18,96,36
472,76,18,96,36
473,76,18,96,36
474,74,18,96,36
475,76,18,96,36
476,76,18,96,35
477,76,18,96,35
478,76,18,96,34
479,76,18,96,34
480,76,18,96,34
481,76,18,96,34
482,77,18,95,33
483,76,17,95,33
484,75,18,95,32
485,76,18,95,32
486,77,17,95,31
487,76,17,95,31
488,77,18,95,30
489,75,18,95,30
490,77,18,95,30
491,77,18,95,30
492,75,18,95,29
493,77,18,95,29
494,77,18,95,28
495,76,18,95,28
496,77,18,95,27
497,77,18,95,27
498,78,18,95,26
499,77,18,95,26
500,84,18,95,25
501,84,18,95,25
502,101,25,93,38
503,55,11,100,35
504,101,25,93,38
505,55,11,100,35
506,101,25,93,38
507,55,11,100,35
508,94,18,93,37
509,94,18,93,37
510,96,18,93,37
511,94,18,93,37
512,94,18,93,37
513,94,18,93,36
514,94,18,93,37
515,93,18,93,36
516,93,18,93,36
517,93,18,93,36
518,93,18,93,37
519,93,18,93,37
520,93,18,93,37
521,93,18,93,36
522,93,18,93,36
523,93,18,93,37
524,93,17,93,37
525,94,17,93,36
526,94,17,93,37
527,94,17,93,36
528,94,17,93,36
529,95,17,93,37
530,95,16,93,36
531,95,16,93,37
532,94,16,93,37
533,94,16,93,37
534,94,16,93,38
535,94,16,93,38
536,94,16,93,37
537,94,17,93,38
538,93,17,93,37
539,94,17,93,37
540,94,17,93,37
541,94,17,93,38
542,92,17,93,37
543,94,17,93,37
544,94,16,93,37
545,94,16,93,37
546,94,16,93,37
547,94,16,93,38
548,94,17,93,38
549,94,17,93,37
550,94,17,93,36
551,94,17,93,38
552,94,17,93,37
553,94,17,93,38
554,94,17,93,39
555,94,16,93,38
556,94,16,93,39
557,94,16,93,38
558,94,17,93,38
559,94,17,93,39
560,94,17,93,39
561,94,17,93,38
562,94,17,93,38
563,94,17,93,39
564,94,16,93,38
565,94,16,93,39
566,94,16,93,39
567,94,16,93,39
568,94,16,93,39
569,94,16,93,38
570,94,16,93,38
571,94,16,93,38
572,94,16,93,38
573,94,17,93,38
574,94,17,93,38
575,94,16,93,37
576,94,16,93,37
577,94,17,93,36
578,95,17,93,36
579,95,16,93,35
580,95,16,93,35
581,95,16,93,34
582,95,16,93,34
583,95,16,93,33
584,95,16,93,33
585,94,16,93,32
586,93,16,93,32
587,94,17,93,31
588,94,17,93,31
589,95,17,93,30
590,95,17,93,30
591,95,17,93,28
592,95,17,93,28
593,95,17,93,27
594,95,17,93,27
595,95,17,93,27
596,95,17,93,27
597,95,17,93,26
598,96,17,93,26
599,94,17,93,41
600,94,17,93,41
601,93,17,93,41
602,93,17,93,41
603,93,17,93,41
604,93,17,93,41
605,93,17,93,41
606,93,17,93,41
607,95,16,93,41
608,94,16,93,41
609,95,17,93,41
610,95,17,93,41
611,95,17,93,41
612,95,17,93,41
613,95,17,93,41
614,94,17,93,41
615,95,17,93,40
616,95,17,93,40
617,95,17,93,41
618,95,17,93,41
619,94,16,93,40
620,94,16,93,40
621,94,16,93,40
622,94,16,93,40
623,94,16,93,39
624,94,16,93,39
625,94,17,93,40
626,95,17,93,40
627,101,25,93,38
628,55,11,100,35
629,92,17,93,39
630,94,17,93,39
631,93,17,93,39
632,93,16,93,38
633,93,16,93,38
634,93,16,93,38
635,93,16,93,38
636,93,17,93,38
637,93,17,93,38
638,93,17,93,38
639,93,17,93,38
640,94,17,93,39
641,94,16,93,39
642,94,16,93,39
643,94,16,93,39
644,93,16,93,39
645,93,16,93,39
646,93,16,93,39
647,93,16,93,39
648,93,16,94,39
649,93,16,94,39
650,93,16,94,39
651,93,16,94,39
652,94,16,93,39
653,92,16,93,39
654,94,16,93,39
655,94,16,93,39
656,95,16,93,39
657,94,16,93,39
658,94,16,93,39
659,92,16,93,39
660,93,17,93,39
661,93,17,93,39
662,93,17,93,39
663,93,16,93,39
664,94,16,93,39
665,94,16,93,39
666,94,16,93,39
667,94,16,93,39
668,94,16,93,39
669,93,16,93,39
670,93,16,93,39
671,93,16,93,39
672,93,16,93,39
673,93,16,93,39
674,93,16,93,39
675,93,16,93,39
676,92,17,93,38
677,92,17,93,38
678,92,18,93,38
679,93,19,93,38
680,93,19,93,38
681,93,19,93,38
682,94,19,93,38
683,93,19,93,38
684,92,18,93,37
685,92,18,93,37
686,91,18,93,38
687,91,17,93,38
688,91,17,93,38
689,91,17,93,38
690,91,17,92,38
691,91,17,92,38
692,91,17,92,37
693,90,17,92,37
694,90,17,92,37
695,90,17,92,37
696,90,16,93,37
697,90,16,93,37
698,90,16,93,37
699,90,16,93,37
700,90,16,93,37
701,89,16,93,37
702,90,15,93,37
703,90,15,93,37
704,90,15,93,36
705,90,15,93,36
706,90,15,93,36
707,90,15,93,36
708,89,16,93,36
709,89,16,93,36
710,89,16,93,35
711,89,16,93,35
712,89,16,93,36
713,89,16,93,36
714,89,16,93,35
715,87,16,93,35
716,89,16,93,35
717,88,17,93,35
718,88,17,93,34
719,90,17,93,34
720,88,17,93,35
721,88,17,93,35
722,90,17,93,34
723,90,16,93,34
724,91,16,93,34
725,90,16,93,34
726,89,16,93,34
727,89,16,93,34
728,87,16,94,33
729,87,16,93,33
730,86,16,93,33
731,86,16,93,33
732,86,16,93,33
733,86,16,93,33
734,86,16,93,34
735,86,16,93,34
736,85,16,93,33
737,84,16,93,33
738,84,16,93,33
739,84,16,93,33
740,83,16,93,32
741,83,16,93,32
742,83,16,93,33
743,83,16,93,33
744,83,16,93,33
745,83,16,93,33
746,83,16,93,32
747,84,16,93,32
748,84,16,93,32
749,85,16,94,32
750,85,16,94,32
751,84,16,94,32
752,84,16,94,32
753,84,16,94,32
754,98,10,100,31
755,98,10,100,31
756,98,10,100,32
757,98,11,100,32
758,98,11,99,32
759,98,11,99,32
760,99,11,99,33
761,99,11,99,33
762,99,10,99,32
763,99,10,99,32
764,98,12,99,32
765,98,12,99,32
766,98,12,99,32
767,98,12,99,32
768,98,12,99,33
769,98,12,99,33
770,97,12,99,34
771,97,12,99,34
772,98,12,100,33
773,98,12,100,33
774,98,12,99,33
775,98,12,99,33
776,98,12,99,34
777,98,12,99,34
778,99,12,99,33
779,99,12,99,33
780,99,12,99,34
781,99,12,100,34
782,99,11,100,34
783,99,11,100,34
784,98,11,100,34
785,98,11,100,34
786,98,11,100,34
787,98,11,100,34
788,98,11,100,34
789,98,11,100,34
790,98,10,100,33
791,98,10,100,33
792,97,10,100,34
793,97,11,100,34
794,97,11,100,33
795,97,11,100,33
796,98,11,100,33
797,98,11,100,33
798,98,11,100,32
799,98,11,100,32
800,98,10,100,33
801,98,10,100,33
802,98,10,100,32
803,98,10,100,32
804,98,10,100,31
805,98,11,100,31
806,98,11,100,31
807,99,11,100,31
808,99,10,99,33
809,99,10,99,33
810,98,11,99,32
811,98,11,99,32
812,97,10,100,32
813,97,10,100,32
814,97,12,100,33
815,97,12,100,33
816,97,12,100,33
817,97,12,100,33
818,97,12,100,32
819,97,12,100,32
820,97,12,100,31
821,97,12,100,31
822,98,12,100,32
823,98,12,100,32
824,98,11,100,32
825,98,11,100,32
826,98,11,100,32
827,97,12,100,32
828,98,12,100,31
829,98,12,100,31
830,98,12,100,30
831,98,12,100,30
832,98,12,100,30
833,98,12,100,30
834,98,11,100,30
835,98,11,100,30
836,98,11,100,30
837,99,11,100,30
838,99,12,99,31
839,99,12,99,31
840,98,12,99,32
841,98,11,99,32
842,98,10,99,32
843,98,10,99,32
844,98,10,99,33
845,98,10,98,33
846,98,10,98,33
847,97,10,97,33
848,97,10,96,33
849,97,10,,33
850,97,10,,32
851,97,10,,32
852,96,10,,31
853,96,10,,31
854,96,10,,32
855,97,10,97,32
856,97,10,98,33
857,97,10,98,33
858,98,10,99,34
859,98,10,99,34
860,98,10,99,34
