timestamp, HR (BPM), RESP (BPM), SpO2 (%),TEMP (*C)
1,94,21,97,36.2
2,94,25,97,36.2
3,93,26,95,37
4,93,26,97,31
5,94,26,97,29
6,94,26,97,29
7,94,26,97,29
8,94,26,97,29
9,94,26,97,29
10,94,26,97,29
11,94,26,97,29
12,95,26,97,29
13,94,24,97,29
14,94,25,97,29
15,94,25,97,29
16,94,25,97,29
17,94,24,98,29
18,94,24,98,29
19,94,24,98,29
20,94,24,98,29
21,94,24,98,29
22,94,24,98,29
23,93,24,98,29
24,93,24,97,29
25,92,24,97,29
26,92,24,97,30
27,92,23,97,29
28,92,23,97,30
29,92,23,97,30
30,95,23,97,29
31,95,23,97,29
32,92,22,97,29
33,92,22,97,29
34,92,22,97,30
35,92,22,97,30
36,89,22,97,29
37,91,22,97,29
38,91,22,97,31
39,91,21,97,29
40,91,21,97,29
41,91,21,97,29
42,90,21,97,29
43,90,21,97,29
44,90,21,97,29
45,90,21,97,29
46,90,21,97,30
47,90,21,97,30
48,91,21,97,29
49,90,20,97,29
50,90,20,97,29
51,91,20,97,29
52,91,20,97,29
53,91,20,97,29
54,91,20,97,29
55,91,21,97,29
56,91,21,97,29
57,91,21,97,29
58,91,21,97,29
59,91,21,97,29
60,91,21,97,29
61,91,21,97,29
62,91,22,97,29
63,91,22,97,29
64,92,22,97,29
65,92,22,97,29
66,92,23,97,29
67,93,23,97,29
68,93,23,97,29
69,93,23,97,29
70,93,23,97,29
71,93,23,97,29
72,93,23,97,30
73,90,23,97,30
74,92,23,97,29
75,92,23,97,29
76,92,23,97,30
77,92,23,97,30
78,92,21,98,29
79,91,21,97,29
80,91,21,97,29
81,91,21,97,29
82,91,21,97,29
83,91,21,97,29
84,91,21,97,29
85,91,21,97,29
86,91,21,97,29
87,91,21,97,29
88,91,21,97,29
89,91,20,97,29
90,91,20,97,29
91,91,20,97,29
92,91,20,97,29
93,91,21,97,29
94,91,21,97,29
95,91,21,97,29
96,91,21,97,29
97,92,21,97,29
98,92,21,97,29
99,92,21,97,29
100,92,21,97,29
101,92,22,97,29
102,92,22,97,29
103,92,22,97,29
104,92,22,97,29
105,92,22,97,29
106,91,22,97,29
107,91,22,97,29
108,91,21,97,29
109,91,21,97,29
110,91,21,97,29
111,91,21,97,29
112,91,21,97,29
113,91,21,97,29
114,91,21,97,29
115,91,21,97,29
116,91,21,97,29
117,91,21,97,29
118,91,21,97,29
119,91,21,97,29
120,91,21,97,29
121,91,21,97,29
122,91,21,97,29
123,91,21,97,29
124,91,21,97,29
125,91,21,97,29
126,91,21,97,29
127,91,21,97,29
128,91,21,97,29
129,91,21,97,29
130,93,21,97,29
131,92,21,97,29
132,92,21,97,29
133,92,21,97,29
134,92,21,97,29
135,91,21,97,29
136,89,22,97,29
137,90,22,97,29
138,90,22,97,29
139,90,22,97,29
140,91,21,97,29
141,91,21,97,29
142,91,21,97,29
143,91,21,97,29
144,91,21,97,30
145,91,21,97,30
146,91,21,97,29
147,91,21,97,29
148,91,21,97,30
149,91,21,97,29
150,91,21,97,30
151,91,21,97,30
152,91,21,97,29
153,91,21,97,29
154,91,21,97,29
155,91,21,97,29
156,91,21,97,29
157,91,21,97,29
158,91,21,97,29
159,91,21,97,29
160,91,21,97,29
161,91,21,97,29
162,91,21,97,29
163,91,21,97,29
164,91,21,97,29
165,91,21,97,29
166,91,21,97,29
167,91,21,97,29
168,91,21,97,29
169,91,21,97,29
170,91,21,97,29
171,91,21,97,29
172,91,21,97,29
173,91,21,97,29
174,91,20,97,29
175,91,20,97,29
176,91,20,97,29
177,91,20,97,29
178,91,20,97,29
179,91,20,97,29
180,91,20,97,29
181,91,20,97,29
182,91,20,97,29
183,91,20,97,29
184,91,20,97,29
185,91,20,96,29
186,91,20,96,29
187,91,20,96,30
188,91,20,96,30
189,91,21,96,29
190,91,21,96,29
191,91,21,96,29
192,91,21,96,29
193,91,21,97,29
194,91,21,97,29
195,91,21,97,29
196,91,21,96,29
197,91,21,96,29
198,91,21,96,29
199,92,21,97,29
200,92,21,97,29
201,91,21,97,29
202,91,21,97,29
203,91,21,97,29
204,90,21,97,29
205,91,21,97,29
206,91,21,97,29
207,91,21,97,29
208,92,21,97,29
209,92,21,96,30
210,92,21,96,30
211,92,20,96,29
212,92,20,96,29
213,91,20,96,29
214,91,20,96,29
215,91,20,97,30
216,91,20,97,30
217,91,21,97,29
218,91,21,97,29
219,92,21,97,29
220,92,21,97,29
221,91,21,97,29
222,91,21,97,29
223,91,21,97,30
224,91,21,97,30
225,91,21,97,29
226,91,21,97,29
227,91,21,97,29
228,91,21,97,29
229,91,20,97,29
230,91,20,97,29
231,91,20,96,29
232,91,20,96,29
233,92,20,96,29
234,92,20,96,29
235,92,20,96,29
236,91,20,96,29
237,91,20,96,29
238,91,20,97,29
239,91,20,97,29
240,91,20,97,29
241,91,21,97,29
242,91,21,97,29
243,91,21,97,29
244,91,21,97,29
245,91,21,97,29
246,91,21,97,29
247,91,21,97,29
248,91,21,97,29
249,90,21,97,29
250,90,21,97,29
251,90,21,97,29
252,90,21,97,29
253,89,21,97,29
254,90,21,97,29
255,90,21,97,29
256,90,21,97,29
257,91,21,97,29
258,90,21,97,29
259,91,21,97,29
260,91,21,97,29
261,92,21,97,29
262,92,21,97,29
263,91,22,96,29
264,91,22,96,29
265,91,22,97,29
266,91,22,97,29
267,91,22,97,29
268,91,22,97,29
269,90,22,97,29
270,90,22,97,29
271,90,22,97,29
272,90,22,97,29
273,90,22,97,29
274,90,22,97,29
275,90,21,97,29
276,91,21,97,29
277,91,21,97,29
278,91,21,97,29
279,91,21,97,29
280,91,21,97,29
281,91,21,97,29
282,91,21,97,29
283,91,21,97,29
284,91,21,97,29
285,91,21,97,30
286,91,21,97,30
287,91,21,97,30
288,91,21,97,30
289,91,21,97,29
290,91,21,97,29
291,91,21,97,29
292,91,21,97,29
293,90,21,96,29
294,90,21,96,29
295,90,20,96,29
296,93,16,100,29
297,94,16,100,29
298,94,16,100,29
299,94,16,100,29
300,94,16,100,29
301,93,16,100,29
302,92,16,100,29
303,92,16,100,29
304,91,16,100,29
305,91,16,100,29
306,91,16,100,29
307,91,16,100,29
308,91,16,100,29
309,90,16,100,29
310,90,16,100,29
311,90,16,100,30
312,90,16,100,30
313,90,16,100,29
314,90,16,100,29
315,90,16,100,30
316,90,16,100,30
317,90,16,100,29
318,90,16,100,29
319,91,16,100,30
320,91,16,100,30
321,91,16,100,30
322,91,16,100,30
323,91,16,100,29
324,91,16,100,29
325,91,16,100,29
326,92,16,100,29
327,92,16,100,30
328,92,16,100,30
329,92,16,100,29
330,92,16,100,29
331,92,16,100,29
332,91,16,100,29
333,90,16,100,29
334,90,16,100,29
335,90,16,100,29
336,90,16,100,29
337,90,16,100,29
338,90,16,100,29
339,89,16,100,29
340,89,16,100,29
341,89,16,100,29
342,90,16,100,29
343,90,16,100,29
344,90,16,100,29
345,90,16,100,29
346,90,16,100,29
347,90,16,100,29
348,91,16,100,29
349,92,16,100,29
350,92,16,100,29
351,92,16,100,29
352,92,16,100,29
353,93,16,100,29
354,93,16,100,29
355,93,16,100,29
356,93,16,100,29
357,93,16,100,29
358,93,16,100,29
359,93,16,100,29
360,93,16,100,29
361,93,15,100,29
362,92,15,100,29
363,92,15,100,29
364,91,15,100,29
365,91,15,100,29
366,90,15,100,29
367,90,15,100,29
368,90,15,100,29
369,90,15,100,29
370,90,15,100,29
371,90,15,100,29
372,90,15,100,29
373,90,15,100,29
374,90,15,100,29
375,89,15,100,29
376,89,15,100,29
377,89,15,100,29
378,89,15,100,29
379,89,15,100,29
380,89,15,100,29
381,89,15,100,29
382,89,15,100,29
383,90,15,100,29
384,90,15,100,29
385,91,15,100,29
386,91,15,100,29
387,92,15,100,29
388,92,15,100,29
389,92,15,100,29
390,92,15,100,29
391,91,15,100,29
392,91,15,100,29
393,91,15,100,29
394,91,15,100,29
395,91,15,100,29
396,90,16,100,29
397,90,16,100,29
398,90,16,100,29
399,90,16,100,29
400,90,16,100,29
401,90,16,100,29
402,90,16,100,29
403,91,16,100,29
404,91,16,100,29
405,92,16,100,29
406,92,15,100,29
407,92,15,100,29
408,92,15,100,29
409,92,15,100,29
410,92,15,100,29
411,92,15,100,29
412,92,15,100,29
413,92,15,100,29
414,92,15,100,29
415,91,15,100,29
416,91,15,100,29
417,91,14,100,29
418,91,14,100,29
419,90,14,100,29
420,90,14,100,29
421,90,14,100,29
422,90,14,100,29
423,90,14,100,29
424,90,14,100,29
425,90,14,100,29
426,90,14,100,29
427,90,14,100,29
428,90,14,100,29
429,90,15,100,29
430,90,15,100,29
431,90,15,100,29
432,90,15,100,29
433,91,15,100,29
434,91,15,100,29
435,91,15,100,29
436,91,15,100,29
437,91,15,100,29
438,89,15,100,29
439,91,15,100,29
440,91,15,100,29
441,90,15,100,29
442,91,15,100,29
443,91,15,100,29
444,91,15,100,29
445,93,15,100,29
446,93,15,100,29
447,92,15,100,29
448,92,15,100,29
449,92,15,100,29
450,92,15,100,29
451,91,15,100,29
452,91,15,100,29
453,90,15,100,29
454,90,15,100,29
455,90,15,100,29
456,90,15,100,29
457,89,15,100,29
458,89,15,100,29
459,89,15,100,29
460,89,15,100,29
461,89,15,100,29
462,89,15,100,29
463,89,15,100,29
464,90,15,100,29
465,90,15,100,29
466,90,15,100,29
467,91,15,100,30
468,91,15,100,30
469,91,15,100,29
470,92,15,100,29
471,92,15,100,30
472,92,15,100,30
473,92,15,100,29
474,92,15,100,29
475,92,15,100,29
476,92,15,100,29
477,92,15,100,29
478,92,15,100,29
479,92,15,100,30
480,92,15,100,30
481,92,15,100,30
482,92,15,100,30
483,92,15,100,29
484,91,15,100,29
485,91,15,100,30
486,90,15,100,30
487,90,15,100,30
488,89,15,100,30
489,89,15,100,29
490,89,15,100,29
491,88,15,100,29
492,88,15,100,29
493,87,15,100,29
494,87,15,100,29
495,87,15,100,29
496,87,15,100,29
497,87,15,100,29
498,88,15,100,29
499,88,15,100,29
500,88,15,100,29
501,88,15,100,29
502,88,15,100,29
503,89,15,100,29
504,89,15,100,29
505,90,15,100,29
506,90,15,100,29
507,90,15,100,30
508,90,15,100,30
509,91,15,100,29
510,91,15,100,29
511,92,16,100,29
512,92,16,100,29
513,92,16,100,29
514,93,18,100,29
515,93,18,100,29
516,93,18,100,29
517,92,18,100,30
518,92,18,100,30
519,92,19,100,29
520,92,19,100,29
521,92,19,100,29
522,92,19,100,29
523,92,18,100,29
524,93,18,100,29
525,93,18,100,29
526,93,19,100,29
527,93,19,100,29
528,92,18,100,29
529,92,18,100,30
530,92,18,100,30
531,92,18,100,29
532,92,18,100,29
533,91,18,100,30
534,91,17,100,30
535,91,17,100,29
536,91,17,100,29
537,91,17,100,30
538,91,16,100,30
539,91,16,100,30
540,91,16,100,30
541,91,16,100,29
542,91,15,100,29
543,91,15,99,30
544,91,15,99,30
545,91,15,99,29
546,91,15,100,29
547,92,15,100,30
548,93,15,100,30
549,93,15,100,29
550,94,15,100,29
551,94,15,100,29
552,94,15,100,29
553,93,15,100,29
554,92,15,100,29
555,91,15,100,29
556,91,15,100,29
557,91,15,100,29
558,91,15,100,29
559,91,15,100,29
560,91,15,100,29
561,91,14,100,29
562,91,14,100,29
563,92,15,100,29
564,92,15,100,29
565,92,15,100,29
566,92,15,100,29
567,91,15,100,29
568,91,15,100,29
569,90,14,100,29
570,90,14,100,29
571,90,14,100,29
572,90,14,100,29
573,90,14,100,29
574,89,14,100,29
575,90,14,100,29
576,90,14,100,29
577,90,14,100,29
578,90,14,100,29
579,90,14,100,29
580,91,14,100,29
581,91,14,100,29
582,91,15,100,29
583,92,15,100,29
584,92,15,100,29
585,92,15,100,29
586,93,15,100,29
587,93,15,100,29
588,94,15,100,29
589,94,15,100,29
590,94,16,100,29
591,94,16,100,29
592,94,16,100,29
593,93,16,100,29
594,93,16,100,29
595,93,16,100,29
596,93,16,100,29
597,93,15,100,29
598,93,15,100,29
599,92,15,100,29
600,92,15,100,29
601,91,15,100,29
602,90,15,100,29
603,89,15,100,29
604,89,15,100,29
605,76,17,97,29
606,77,17,97,29
607,76,17,96,29
608,77,17,96,29
609,76,17,96,29
610,76,17,96,29
611,76,17,96,29
612,76,17,96,29
613,76,17,96,29
614,76,17,96,29
615,77,17,96,29
616,76,17,96,29
617,76,17,96,29
618,76,17,96,29
619,76,17,96,29
620,75,17,97,29
621,75,17,96,29
622,76,17,96,29
623,76,17,96,29
624,77,17,96,29
625,75,17,96,29
626,76,17,97,29
627,76,18,97,29
628,76,18,97,29
629,76,18,97,29
630,76,18,97,29
631,74,18,97,29
632,76,17,97,29
633,75,17,97,29
634,76,17,97,29
635,75,17,97,29
636,76,18,97,29
637,76,18,96,29
638,77,18,96,29
639,78,18,97,29
640,76,18,97,29
641,76,18,97,29
642,74,18,97,29
643,76,18,97,29
644,76,18,97,29
645,76,18,97,29
646,76,18,97,29
647,77,18,97,29
648,77,18,97,29
649,77,18,97,29
650,77,18,97,29
651,77,18,97,29
652,78,18,97,29
653,77,17,96,29
654,76,17,96,29
655,77,18,96,29
656,77,18,96,29
657,77,18,96,29
658,77,18,96,29
659,78,18,96,29
660,78,18,96,29
661,77,18,96,29
662,77,18,96,29
663,77,17,96,29
664,77,17,96,29
665,77,17,96,29
666,79,17,96,29
667,77,17,96,29
668,77,17,96,29
669,77,17,96,29
670,77,17,96,29
671,77,17,96,29
672,78,16,96,29
673,77,16,96,29
674,76,16,96,29
675,76,16,96,29
676,76,16,96,29
677,77,16,96,29
678,75,16,96,29
679,75,16,96,29
680,77,16,96,29
681,76,16,96,29
682,80,16,96,29
683,84,16,96,30
684,84,17,96,30
685,84,18,96,29
686,84,18,97,29
687,79,18,97,31
688,77,18,97,31
689,76,19,97,29
690,77,19,97,29
691,77,19,96,29
692,76,19,96,29
693,76,19,96,29
694,77,19,96,29
695,76,19,96,29
696,76,19,96,29
697,77,19,96,29
698,76,19,96,29
699,76,19,96,29
700,76,19,96,29
701,76,19,96,29
702,76,19,96,29
703,74,19,96,29
704,74,19,96,29
705,76,19,96,29
706,76,19,96,29
707,76,19,96,29
708,76,19,96,29
709,77,19,96,29
710,76,19,96,29
711,76,19,96,29
712,76,19,96,29
713,77,19,96,29
714,77,19,96,29
715,76,18,96,29
716,76,18,96,29
717,75,18,96,29
718,76,18,96,29
719,76,18,96,29
720,76,18,96,29
721,76,18,96,29
722,76,18,96,29
723,74,18,96,29
724,77,18,96,29
725,77,17,96,29
726,75,17,96,29
727,75,17,96,29
728,77,17,96,29
729,78,17,96,29
730,77,17,96,29
731,77,17,96,29
732,77,18,96,29
733,76,18,96,29
734,77,18,96,29
735,76,18,96,29
736,76,18,96,29
737,76,18,96,29
738,76,18,96,29
739,76,18,96,29
740,76,18,96,29
741,76,18,96,29
